apartado,factor,a,b,diferencia,ic_bajo,ic_alto,ganadas,n,separado
A5.5,selector,microsam_lm M0 x P2 x solo ranking,microsam_lm M0 x P2 x S0,-0.0787,-0.1337,-0.0272,5,17,True
A5.5,selector,microsam_lm M0 x P3 x S1,microsam_lm M0 x P3 x S0,0.0131,-0.0108,0.0442,5,17,False
A5.5,selector,microsam_lm M0 x P3 x solo puerta,microsam_lm M0 x P3 x S0,0.0,0.0,0.0,0,17,False
A5.5,selector,microsam_lm M0 x P3 x solo ranking,microsam_lm M0 x P3 x S0,0.0131,-0.0108,0.0442,5,17,False
A5.5,selector,microsam_lm M0 x P4 x S1,microsam_lm M0 x P4 x S0,0.0326,-0.0188,0.0891,7,17,False
A5.5,selector,microsam_lm M0 x P4 x solo puerta,microsam_lm M0 x P4 x S0,0.017,-0.0069,0.0484,3,17,False
A5.5,selector,microsam_lm M0 x P4 x solo ranking,microsam_lm M0 x P4 x S0,0.0304,-0.0126,0.0806,5,17,False
A5.5,selector,microsam_lm M1 x P1 x S1,microsam_lm M1 x P1 x S0,0.0069,-0.0318,0.0447,9,17,False
A5.5,selector,microsam_lm M1 x P1 x solo puerta,microsam_lm M1 x P1 x S0,0.0002,-0.0022,0.0027,1,17,False
A5.5,selector,microsam_lm M1 x P1 x solo ranking,microsam_lm M1 x P1 x S0,0.0073,-0.0323,0.0458,9,17,False
A5.5,selector,microsam_lm M1 x P2 x S1,microsam_lm M1 x P2 x S0,-0.0341,-0.0881,0.0159,8,17,False
A5.5,selector,microsam_lm M1 x P2 x solo puerta,microsam_lm M1 x P2 x S0,0.0075,-0.021,0.0376,4,17,False
A5.5,selector,microsam_lm M1 x P2 x solo ranking,microsam_lm M1 x P2 x S0,-0.0228,-0.0762,0.0237,11,17,False
A5.5,selector,microsam_lm M1 x P3 x S1,microsam_lm M1 x P3 x S0,0.0364,0.0099,0.0656,9,17,True
A5.5,selector,microsam_lm M1 x P3 x solo puerta,microsam_lm M1 x P3 x S0,-0.002,-0.0052,0.0001,1,17,False
A5.5,selector,microsam_lm M1 x P3 x solo ranking,microsam_lm M1 x P3 x S0,0.0407,0.0112,0.0732,9,17,True
A5.5,selector,microsam_lm M1 x P4 x S1,microsam_lm M1 x P4 x S0,0.0835,0.0371,0.1339,12,17,True
A5.5,selector,microsam_lm M1 x P4 x solo puerta,microsam_lm M1 x P4 x S0,0.0274,0.0036,0.054,10,17,True
A5.5,selector,microsam_lm M1 x P4 x solo ranking,microsam_lm M1 x P4 x S0,0.0684,0.0267,0.1089,14,17,True
A5.5,selector,sam21 M0 x P1 x S1,sam21 M0 x P1 x S0,-0.0297,-0.073,0.0103,2,17,False
A5.5,selector,sam21 M0 x P1 x solo puerta,sam21 M0 x P1 x S0,0.0,0.0,0.0,0,17,False
A5.5,selector,sam21 M0 x P1 x solo ranking,sam21 M0 x P1 x S0,-0.0297,-0.073,0.0103,2,17,False
A5.5,selector,sam21 M0 x P2 x S1,sam21 M0 x P2 x S0,-0.0007,-0.0514,0.0471,5,17,False
A5.5,selector,sam21 M0 x P2 x solo puerta,sam21 M0 x P2 x S0,0.0036,-0.0447,0.0491,5,17,False
A5.5,selector,sam21 M0 x P2 x solo ranking,sam21 M0 x P2 x S0,0.0077,-0.0234,0.0428,2,17,False
A5.5,selector,sam21 M0 x P3 x S1,sam21 M0 x P3 x S0,0.0264,-0.0164,0.0869,3,17,False
A5.5,selector,sam21 M0 x P3 x solo puerta,sam21 M0 x P3 x S0,0.0,0.0,0.0,0,17,False
A5.5,selector,sam21 M0 x P3 x solo ranking,sam21 M0 x P3 x S0,0.0264,-0.0164,0.0869,3,17,False
A5.5,selector,sam21 M0 x P4 x S1,sam21 M0 x P4 x S0,0.0369,-0.0097,0.0907,7,17,False
A5.5,selector,sam21 M0 x P4 x solo puerta,sam21 M0 x P4 x S0,0.0195,-0.017,0.057,6,17,False
